district,year,total_residents,jutland_residents,local_residents,jutland_share_pct,local_share_pct,edu_total,edu_high,high_ed_share_pct
Nørrebro,1995,56076.0,8050.0,27508.0,14.35551751194807,49.05485412654255,42611.0,8445.0,19.81882612470958
Nørrebro,1996,56443.0,8138.0,27435.0,14.418085502188049,48.60655882926138,42955.0,9084.0,21.147712722616692
Nørrebro,1997,56982.0,8355.0,27479.0,14.66252500789723,48.22400056158085,43047.0,9723.0,22.58693985643599
Nørrebro,1998,57010.0,8380.0,27278.0,14.699175583231012,47.847746009472026,43426.0,10555.0,24.305715469994933
Nørrebro,1999,57552.0,8614.0,27304.0,14.967333889352238,47.44231303864331,43690.0,11413.0,26.12268253604944
Nørrebro,2000,58014.0,8732.0,27383.0,15.051539283621194,47.200675698969214,43914.0,12151.0,27.66999134672314
Nørrebro,2001,58434.0,8968.0,27331.0,15.34722935277407,46.77242701167129,43788.0,12940.0,29.5514752900338
Nørrebro,2002,58618.0,9097.0,27390.0,15.519123818622266,46.72626155788324,43682.0,13668.0,31.289776109152513
Nørrebro,2003,58652.0,9059.0,27365.0,15.445338607379117,46.65655050126168,43469.0,14360.0,33.03503646276657
Nørrebro,2004,58441.0,9153.0,27112.0,15.661949658630071,46.39208774661625,43329.0,14524.0,33.52027510443352
Nørrebro,2005,58042.0,9211.0,26683.0,15.869542744908859,45.97188242996451,42456.0,14542.0,34.251931411343506
Nørrebro,2006,56832.0,8993.0,25913.0,15.823831644144144,45.5957911036036,42015.0,14903.0,35.47066523860526
Nørrebro,2007,56313.0,9036.0,25610.0,16.046028448138085,45.47795358087831,42032.0,13734.0,32.67510468214694
Nørrebro,2008,56288.0,9216.0,25464.0,16.372939169982946,45.23877202956225,42101.0,15984.0,37.965844041709225
Nørrebro,2009,56271.0,9264.0,25145.0,16.463187076824653,44.685539620763805,42991.0,16831.0,39.1500546626038
Nørrebro,2010,57157.0,9623.0,25098.0,16.836083069440313,43.91063211855066,43892.0,17762.0,40.46751116376561
Nørrebro,2011,58145.0,9978.0,25194.0,17.160546908590593,43.32960701694041,45114.0,18951.0,42.00691581327304
Nørrebro,2012,59433.0,10382.0,25439.0,17.468409806000032,42.80281998216479,45986.0,20163.0,43.84595311616579
Nørrebro,2013,60387.0,10712.0,25609.0,17.738917316641,42.408134201069764,46916.0,21531.0,45.89265922073493
Nørrebro,2014,61379.0,11069.0,25849.0,18.03385522735789,42.11375226054514,47374.0,22724.0,47.96723941402457
Nørrebro,2015,62077.0,11320.0,26135.0,18.235417304315607,42.10093915620922,47600.0,23823.0,50.04831932773109
